name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2018-01-01,20.1,10.3,13.3,20.1,10.3,13.3,10.4,84.4,,0,0,,0,0,,14.4,344,1024.7,76.6,9.1,,,,,2018-01-01T06:04:08,2018-01-01T17:55:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-02,16.3,10,12.6,16.3,9.1,12.5,10.4,87.1,3.2,100,45.83,rain,0,0,33.5,10,315,1023.1,87.9,8.3,176,15.2,7,,2018-01-02T06:04:34,2018-01-02T17:56:13,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-03,21,8,13.7,21,8,13.6,8.7,74.8,1.2,100,29.17,rain,0,0,41.4,22.1,125.3,1023.4,52.9,10.6,207.5,17.8,8,,2018-01-03T06:05:00,2018-01-03T17:56:43,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-04,21.3,6,12.8,21.3,6,12.7,9.7,83.1,2.2,100,50,rain,0,0,31.3,21.8,306.4,1023.1,61.6,9.6,229.7,19.8,8,,2018-01-04T06:05:25,2018-01-04T17:57:12,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-05,21.5,7.5,13.7,21.5,7.3,13.6,10,80.8,3.3,100,62.5,rain,0,0,28.4,23.6,288.1,1023.9,65.5,9.1,212.8,18.4,8,,2018-01-05T06:05:49,2018-01-05T17:57:42,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-06,20.3,11,14.6,20.3,11,14.6,9.4,73,8.8,100,91.67,rain,0,0,27,17.8,295.9,1023,74.2,11,154.7,13.3,7,,2018-01-06T06:06:13,2018-01-06T17:58:11,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-07,20.3,4,12.9,20.3,2.1,12.6,8.5,77,1.8,100,54.17,rain,0,0,22.3,21.9,295.7,1022.1,38.5,10.4,167,14.3,6,,2018-01-07T06:06:36,2018-01-07T17:58:39,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-08,21.3,8,13.9,21.3,7.4,13.9,9.3,76.3,2.9,100,66.67,rain,0,0,26.3,21.9,287.3,1021.2,55,10.6,154.2,13.4,7,,2018-01-08T06:06:59,2018-01-08T17:59:08,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-09,19.3,10.4,14.2,19.3,10.4,14.2,10.1,77.9,15.3,100,87.5,rain,0,0,26.6,24.2,282.7,1022.4,69.6,10.2,129.4,11.1,7,,2018-01-09T06:07:21,2018-01-09T17:59:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-10,21.3,10,14.5,21.3,10,14.5,9.9,76.3,10.9,100,87.5,rain,0,0,25.6,23.7,315.4,1022.8,59.6,9.7,128.2,11.1,5,,2018-01-10T06:07:42,2018-01-10T18:00:03,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-11,18.3,9.3,14,18.3,7.8,13.9,9.1,74.4,4.9,100,62.5,rain,0,0,33.1,18,60.4,1022.1,69,10.7,128.2,11.1,6,,2018-01-11T06:08:03,2018-01-11T18:00:30,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-12,18.2,10.9,14.1,18.2,10.9,14.1,9.1,73.4,2.1,100,58.33,rain,0,0,33.8,18,33,1022.1,72.3,10.9,158.2,13.5,6,,2018-01-12T06:08:23,2018-01-12T18:00:57,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-13,18.3,10,13.8,18.3,10,13.8,10,78.9,3.4,100,54.17,rain,0,0,29.5,17.9,290.2,1021.8,66.1,9.8,193.6,16.7,7,,2018-01-13T06:08:42,2018-01-13T18:01:23,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-14,19.3,8,12.8,19.3,8,12.9,9.9,83.7,8.9,100,58.33,rain,0,0,33.5,20.2,292.3,1022.5,69.9,9.9,160.8,14,7,,2018-01-14T06:09:00,2018-01-14T18:01:49,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-15,20.3,6,13.2,20.3,6,13.2,9,79.2,5,100,70.83,rain,0,0,27.4,22,354.2,1021.7,64,10,187.5,16.2,6,,2018-01-15T06:09:18,2018-01-15T18:02:14,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-16,20.3,9,13.7,20.3,7.5,13.5,8.4,73.2,0.6,100,25,rain,0,0,37.1,17,108.4,1022,68.5,10.4,206.2,17.8,8,,2018-01-16T06:09:34,2018-01-16T18:02:38,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-17,18.2,10.8,13.4,18.2,10.8,13.4,9.7,79.8,4.5,100,66.67,rain,0,0,32.4,14.6,345.4,1022.3,75.9,10.8,226.1,19.4,8,,2018-01-17T06:09:50,2018-01-17T18:03:02,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-18,18.3,10,13.4,18.3,9.6,13.4,10.1,81.1,2.1,100,41.67,rain,0,0,41.8,17.8,58.8,1022.2,77.4,10.3,186.8,16.1,7,,2018-01-18T06:10:05,2018-01-18T18:03:26,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-19,19.3,10.2,14,19.3,10.2,14,8.2,69.8,2.1,100,45.83,rain,0,0,47.5,26.9,80.6,1023,65.4,10.8,171,14.9,7,,2018-01-19T06:10:19,2018-01-19T18:03:49,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2018-01-20,20.3,8.1,14,20.3,6.2,13.6,5.7,60.3,0.4,100,16.67,rain,0,0,48.2,28.7,96,1021.9,43.7,11.2,211.9,18.1,8,,2018-01-20T06:10:33,2018-01-20T18:04:11,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
