name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2020-06-01,18.5,11,14.3,18.5,11,14.3,11.3,83,2.5,100,54.17,rain,0,0,36.7,12.9,24.2,1025.1,58.1,10.6,169.8,14.6,6,,2020-06-01T05:43:06,2020-06-01T18:05:25,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-02,20.3,7.4,14.3,20.3,7.4,14.3,10.6,80,2,100,41.67,rain,0,0,36,19.9,47.6,1025,54.7,10.4,189.1,16.4,7,,2020-06-02T05:43:13,2020-06-02T18:05:38,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-03,17.3,11,13.8,17.3,11,13.8,11,83.9,2.6,100,50,rain,0,0,34.9,11.2,22.1,1024.2,57.5,10.4,146.1,12.6,6,,2020-06-03T05:43:20,2020-06-03T18:05:51,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-04,21.4,10,15.7,21.4,10,15.7,9.4,68.3,2.9,100,66.67,rain,0,0,39.6,20.2,116.1,1024,50.2,10.6,188.7,16.2,6,,2020-06-04T05:43:28,2020-06-04T18:06:04,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-05,19.3,12,15.5,19.3,12,15.5,9.1,66.3,0.8,100,29.17,rain,0,0,43.2,21.8,105.6,1025.1,73,11.5,203,17.5,7,,2020-06-05T05:43:36,2020-06-05T18:06:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-06,29,11,14.3,30.8,11,14.4,10.4,78.6,0.3,100,8.33,rain,0,0,40.3,25.2,101.9,1025.5,58.3,10.2,150.7,13,6,,2020-06-06T05:43:44,2020-06-06T18:06:31,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-07,19.3,8,14.3,19.3,6.9,14.2,8.4,70.1,0.4,100,16.67,rain,0,0,43.2,20.1,87.7,1026.4,44.5,11.2,209.2,18,6,,2020-06-07T05:43:53,2020-06-07T18:06:44,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-08,21.2,8,13.6,21.2,7.9,13.5,8.4,74.1,0.2,100,8.33,rain,0,0,42.1,13.4,85.7,1026.1,41.2,11,218,18.9,8,,2020-06-08T05:44:03,2020-06-08T18:06:58,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-09,21.3,8.8,14.5,21.3,8.1,14.3,8.8,71.7,0.2,100,8.33,rain,0,0,37.8,18,241.6,1024.2,49.4,11.2,183.8,16,7,,2020-06-09T05:44:12,2020-06-09T18:07:12,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-10,19.3,9.1,14,19.3,9.1,14,9.9,78.1,2.5,100,45.83,rain,0,0,31.3,18,274.7,1023.9,61.7,10.2,195.6,17,7,,2020-06-10T05:44:23,2020-06-10T18:07:25,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-11,22,11,14.6,22,11,14.6,11.4,82.8,10.7,100,91.67,rain,0,0,29.5,21.8,327.8,1023.7,56.5,9.9,178,15.5,7,,2020-06-11T05:44:33,2020-06-11T18:07:39,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2020-06-12,17.2,11.8,13.6,17.2,11.8,13.6,11.6,88,5.9,100,70.83,rain,0,0,29.5,20.5,311.9,1024,63.4,9.4,181.5,15.8,7,,2020-06-12T05:44:44,2020-06-12T18:07:53,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
