name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2010-06-01,20.3,11,15.5,20.3,11,15.5,11.6,79.1,9.9,100,75,rain,,,,88.5,80.2,1028.4,79,11,175.3,15,7,,2010-06-01T05:43:00,2010-06-01T18:05:16,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-02,19.3,11.9,15.2,19.3,11.9,15.2,12.5,84.7,26.9,100,79.17,rain,,,,18.4,27.9,1026.9,70.2,10.5,220.7,18.9,7,,2010-06-02T05:43:06,2010-06-02T18:05:28,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-03,18,9.8,13.6,18,9.8,13.6,10.1,80.8,5.9,100,95.83,rain,,,,21.7,112.1,1028.1,63.4,10.9,279.4,24.1,9,,2010-06-03T05:43:13,2010-06-03T18:05:41,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-04,19.6,10,14.6,19.6,9.6,14.6,10.3,76.6,6.5,100,91.67,rain,,,,21.8,75.7,1028.7,73.7,11.6,167.7,14.5,6,,2010-06-04T05:43:21,2010-06-04T18:05:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-05,20.3,10,15.3,20.3,9.1,15.2,9.7,71.2,0.3,100,12.5,rain,,,,21.7,118,1028.8,51.3,11.6,252.9,22,8,,2010-06-05T05:43:28,2010-06-05T18:06:07,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-06,20.2,10,14.2,20.2,10,14.2,9.9,77.2,3.5,100,70.83,rain,,,,25.5,156.1,1027.9,57.3,11.3,183.2,15.7,6,,2010-06-06T05:43:37,2010-06-06T18:06:20,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-07,19.3,9,14.2,19.3,7.6,14.1,9.2,74.4,0.3,100,12.5,rain,,,,25.3,138.4,1027.8,64.1,11.4,267.5,23,8,,2010-06-07T05:43:45,2010-06-07T18:06:34,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-08,19,8,13.5,19,6.9,13.3,10,80.8,4.2,100,70.83,rain,,,,25.5,127.7,1028.5,72.7,11.3,196.3,16.8,7,,2010-06-08T05:43:55,2010-06-08T18:06:47,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-09,20.1,11,14.4,20.1,11,14.4,10.8,80.6,22.5,100,100,rain,,,,27.5,167,1027.8,70,11.2,174.3,15.1,7,,2010-06-09T05:44:04,2010-06-09T18:07:01,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,remote,SKVV"
Bogota,2010-06-10,18.1,10.8,13.9,18.1,10.8,13.9,10.7,81.9,9.3,100,83.33,rain,,,,27.7,185.2,1027.6,69,12.9,256.8,22.1,8,,2010-06-10T05:44:14,2010-06-10T18:07:15,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,remote"
Bogota,2010-06-11,20.1,8.9,13.4,20.1,8.7,13.3,10.8,85.6,1,100,29.17,rain,,,,29.5,274.8,1028.4,58.8,11.3,217.3,18.9,8,,2010-06-11T05:44:24,2010-06-11T18:07:29,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"80222099999,SKBO,80234099999"
Bogota,2010-06-12,20.1,5.1,13,20.1,5.1,12.9,10.2,84.7,2.5,100,58.33,rain,,,,25.9,195.7,1028.1,53.6,11.8,221.4,19.1,8,,2010-06-12T05:44:35,2010-06-12T18:07:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999"
Bogota,2010-06-13,20,9.1,13.8,20,8.8,13.8,10.5,82.4,0.1,100,4.17,rain,,,,25.9,301.5,1027.2,61.1,11.7,227.6,19.8,8,,2010-06-13T05:44:46,2010-06-13T18:07:56,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"80222099999,SKBO,80234099999"
Bogota,2010-06-14,19,9,13.2,19,8.6,13.2,11.3,89.3,0,0,0,,,,,18.4,314.1,1027.1,70.6,9,253.1,22,9,,2010-06-14T05:44:58,2010-06-14T18:08:10,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,remote"
Bogota,2010-06-15,18,10,13.7,18,8.4,13.6,11.1,84.8,12.4,100,70.83,rain,,,,21.7,329.1,1027.2,78.7,11.3,218.9,18.9,8,,2010-06-15T05:45:09,2010-06-15T18:08:24,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999"
Bogota,2010-06-16,22.7,12,14.5,22.7,12,14.5,12.1,85.6,10.5,100,83.33,rain,,,,14.6,7.7,1027.3,83.1,10.7,211.8,18.5,8,,2010-06-16T05:45:21,2010-06-16T18:08:38,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-17,20.3,7.2,14.3,20.3,5.9,14,10.7,80.9,0.5,100,20.83,rain,,,,18,57.9,1026.9,73.2,11.2,258.1,22.3,9,,2010-06-17T05:45:33,2010-06-17T18:08:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-18,19.3,10.9,14.7,19.3,10.9,14.7,11,79.7,4.1,100,70.83,rain,,,,18.4,44.1,1026.3,71.8,11.5,217.3,18.7,7,,2010-06-18T05:45:46,2010-06-18T18:09:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-19,20.3,8.3,14.8,20.3,7.2,14.7,10.9,79.2,7,100,87.5,rain,,,,17.5,13.9,1026.2,66.3,11,241.7,21,9,,2010-06-19T05:45:58,2010-06-19T18:09:18,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogota,2010-06-20,13.8,10.8,12.1,13.8,10.8,12.1,11.3,94.6,14.2,100,95.83,rain,,,,21.3,251.2,1026.8,91.3,11.3,129.7,11.3,4,,2010-06-20T05:46:11,2010-06-20T18:09:32,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-21,19.3,10,13.4,19.3,9.1,13.4,11.4,88.3,3.3,100,83.33,rain,,,,14.6,271.4,1027.1,78.2,10.7,152,13.2,5,,2010-06-21T05:46:24,2010-06-21T18:09:45,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogota,2010-06-22,18.4,10,13.8,18.4,9.6,13.8,11.2,85.4,2.3,100,83.33,rain,,,,22,278.1,1027.7,87.5,13.9,134.8,11.7,5,,2010-06-22T05:46:37,2010-06-22T18:09:57,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-23,21.1,8.5,15,21.1,8.5,15,11,79,10,100,70.83,rain,,,,28.1,308.5,1026.5,71.1,11.5,227.7,19.7,8,,2010-06-23T05:46:51,2010-06-23T18:10:10,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-24,20.9,12,15.2,20.9,12,15.2,12.1,82.5,0.8,100,29.17,rain,,,,16.2,320.6,1026.8,68.4,10.8,213.5,18.4,8,,2010-06-24T05:47:04,2010-06-24T18:10:22,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogota,2010-06-25,18.1,11,14.2,18.1,11,14.2,11.2,82.9,11.9,100,70.83,rain,,,,16.3,44.6,1026.9,75.3,10.4,229.1,19.6,9,,2010-06-25T05:47:17,2010-06-25T18:10:35,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2010-06-26,20.3,11,15.5,20.3,11,15.5,10.5,73.5,2.1,100,58.33,rain,,,,21.8,126.5,1026.5,73.9,11.2,168,14.7,6,,2010-06-26T05:47:31,2010-06-26T18:10:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
