name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2015-06-01,19.3,10,14.5,19.3,9.6,14.5,10,76.1,0.6,100,25,rain,0,0,50.8,21.7,98.8,1022.9,67.4,10.2,176.8,15.4,6,,2015-06-01T05:43:00,2015-06-01T18:05:14,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-02,19.2,11,15,19.2,11,15,9.5,70.9,0,0,0,,0,0,51.5,23.4,125.2,1023.6,60.2,10.5,181.7,15.7,6,,2015-06-02T05:43:07,2015-06-02T18:05:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-03,19.3,9.4,15.1,19.3,9.4,15.1,9.1,69.2,1.3,100,33.33,rain,0,0,45.7,28.7,118.1,1022.2,78.9,10.7,150.7,13,5,,2015-06-03T05:43:13,2015-06-03T18:05:39,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-04,19.1,11,14.6,19.1,11,14.6,9.7,74,1.3,100,41.67,rain,0,0,40.3,21.9,111.2,1024.2,70.7,10.3,116.8,10,5,,2015-06-04T05:43:21,2015-06-04T18:05:52,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-05,18.3,10,13.8,18.3,9.6,13.8,9.9,78.4,2.6,100,33.33,rain,0,0,52.9,20.7,100.8,1024.4,63.5,10.6,124.6,11,5,,2015-06-05T05:43:28,2015-06-05T18:06:06,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-06,19.4,9.9,14.1,19.4,9.3,14.1,10,78,0.3,100,12.5,rain,0,0,48.2,17.8,89.4,1023.1,63.2,10.2,167.2,14.5,6,,2015-06-06T05:43:36,2015-06-06T18:06:19,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-07,19.3,8,13.5,19.3,6.4,13.4,9,76.2,5.1,100,54.17,rain,0,0,43.9,18,82.3,1023.1,69.1,10.7,202.4,17.5,7,,2015-06-07T05:43:45,2015-06-07T18:06:32,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,remote,SKVV"
Bogota,2015-06-08,18.3,11,14.3,18.3,11,14.3,9.2,72.7,5,100,62.5,rain,0,0,35.6,21.7,83.9,1023.4,77.3,10.7,98,8.4,4,,2015-06-08T05:43:54,2015-06-08T18:06:46,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-09,20.3,11,14.6,20.3,11,14.6,10.1,75.9,2.8,100,62.5,rain,0,0,34.9,19.9,119.8,1022.8,79.6,10.1,116.9,10.3,6,,2015-06-09T05:44:04,2015-06-09T18:07:00,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-10,19.3,10,14.7,19.3,8,14.7,7.4,62.8,0.9,100,37.5,rain,0,0,38.2,23.4,101.8,1022.8,79.1,11,200.2,17.3,6,,2015-06-10T05:44:13,2015-06-10T18:07:13,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-11,16.3,10,13.1,16.3,10,13.1,9.2,78.4,0.6,100,25,rain,0,0,36.7,25.2,101,1023.9,73.8,10.6,111.6,9.5,5,,2015-06-11T05:44:24,2015-06-11T18:07:27,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-12,18.4,10,14,18.4,8.2,13.8,8.7,71.9,0.3,100,12.5,rain,0,0,46.1,27.8,96.7,1025.6,59.2,10.3,149.6,12.9,7,,2015-06-12T05:44:34,2015-06-12T18:07:41,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-13,19.4,9.1,13.7,19.4,7.6,13.5,8.9,74.8,1.1,100,33.33,rain,0,0,42.1,21.7,74.3,1023.1,79.3,10.4,154.3,13.4,7,,2015-06-13T05:44:45,2015-06-13T18:07:55,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-14,19.2,10,14.4,19.2,9.6,14.3,9.6,74.1,2,100,45.83,rain,0,0,38.5,21.7,81.7,1022.9,73.6,10.8,172.7,14.8,6,,2015-06-14T05:44:57,2015-06-14T18:08:09,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-15,19.1,10,14.1,19.1,9.1,14.1,9.7,76.3,2.7,100,37.5,rain,0,0,42.1,21.7,79.5,1023.7,69.3,10.5,143.9,12.4,6,,2015-06-15T05:45:08,2015-06-15T18:08:22,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-16,19.3,10,15.2,19.3,10,15.2,9.1,68.6,4.3,100,62.5,rain,0,0,46.4,36.2,126.9,1023.8,56,10.8,116.9,10,4,,2015-06-16T05:45:20,2015-06-16T18:08:36,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,80222399999,SKBO,80234099999,SKVV"
Bogota,2015-06-17,17.4,10.9,14.4,17.4,10.9,14.4,7.8,65.4,0,0,0,,0,0,55.1,24.2,106.6,1023,64.5,11.1,206.4,17.8,8,,2015-06-17T05:45:32,2015-06-17T18:08:50,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-18,18.3,11,14.4,18.3,11,14.4,9.3,72.8,2.5,100,79.17,rain,0,0,59.8,22,132.2,1022.7,69.8,10.6,136.3,11.8,6,,2015-06-18T05:45:45,2015-06-18T18:09:03,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2015-06-19,18.4,10.1,14.3,18.4,10.1,14.3,8.2,68.1,3.9,100,66.67,rain,0,0,68,28.7,122.3,1023.6,61.8,10.7,124.3,10.9,5,,2015-06-19T05:45:57,2015-06-19T18:09:17,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
