datetime,tempmax,tempmin,temp,humidity,precip,windspeed,solarradiation
2010-08-30,20.3,7.0,13.9,73.7,0.0,21.7,253.3
2010-08-31,20.3,8.0,14.2,80.0,3.5,18.2,223.9
2010-09-01,18.3,10.0,13.9,86.0,20.0,14.4,171.4
2010-09-02,20.3,10.9,13.7,83.9,11.0,25.4,210.2
2010-09-03,19.3,11.0,13.4,85.7,0.8,18.1,232.4
2010-09-04,20.4,9.0,14.0,76.4,0.4,21.8,275.0
2010-09-05,19.1,8.9,13.9,77.3,15.2,21.9,289.5
2010-09-06,18.2,10.0,13.6,80.7,3.2,21.9,206.0
2010-09-07,16.4,11.0,12.9,92.0,2.9,17.9,219.0
2010-09-08,15.5,10.0,12.5,90.4,1.9,21.8,212.1
2010-09-09,23.6,10.0,14.5,78.7,13.2,18.0,224.9
2010-09-10,18.5,11.0,14.7,76.8,10.4,25.4,263.8
2010-09-11,19.1,10.0,14.0,82.2,5.3,20.3,212.6
2010-09-12,20.4,10.0,14.6,80.6,13.6,25.9,163.8
2010-09-13,19.9,11.0,14.8,80.6,2.0,22.3,199.0
2010-09-14,20.0,9.0,14.8,72.8,0.8,18.4,284.5
2010-09-15,19.1,5.0,13.1,77.3,2.6,18.3,244.9
2010-09-16,19.3,8.0,13.4,77.8,0.2,22.3,265.9
2010-09-17,18.4,9.8,13.8,78.5,0.0,20.1,285.2
2010-09-18,19.4,9.0,13.4,76.6,0.4,21.6,300.7
2010-09-19,17.1,8.0,12.5,85.2,5.0,18.4,246.5
2010-09-20,14.6,9.8,12.0,92.3,1.8,14.6,177.2
2010-09-21,23.0,10.0,13.7,84.7,11.1,11.1,147.0
2010-09-22,18.5,10.0,13.9,80.9,1.8,21.9,231.2
2010-09-23,19.2,10.0,13.7,82.2,8.7,18.0,196.0
2010-09-24,18.0,10.5,13.4,86.9,0.2,20.5,157.4
2010-09-25,19.3,10.0,13.4,87.1,4.2,22.3,206.5
2010-09-26,19.0,10.0,13.4,85.1,0.0,22.0,225.8
2010-09-27,19.3,8.0,12.4,86.5,5.3,28.9,197.7
2010-09-28,19.0,10.0,13.2,85.0,12.3,18.4,254.1
2010-09-29,20.2,10.0,13.9,84.5,5.3,18.4,234.4
2010-09-30,16.2,7.9,12.3,87.6,2.9,25.1,234.2
2010-10-01,21.1,7.0,13.4,84.9,1.2,27.0,235.2
2010-10-02,18.0,9.0,12.5,86.6,9.5,27.7,172.1
2010-10-03,20.3,8.0,13.6,84.9,21.1,27.2,127.9
2010-10-04,17.3,11.0,13.4,90.3,18.4,21.8,98.7
2010-10-05,20.0,11.0,14.0,83.7,6.6,31.1,230.9
2010-10-06,22.0,11.0,14.3,86.9,2.4,25.3,249.0
2010-10-07,22.3,11.8,15.7,77.7,8.4,21.8,264.5
2010-10-08,20.3,10.0,14.9,81.8,2.9,18.4,270.2
2010-10-09,18.2,9.0,13.7,80.8,1.7,20.1,237.7
2010-10-10,20.2,8.0,14.1,72.5,0.0,28.9,244.9
2010-10-11,20.4,9.0,14.3,68.7,2.3,29.1,316.5
2010-10-12,18.2,7.9,12.5,80.3,2.4,20.9,297.0
2010-10-13,19.4,9.1,14.4,74.9,0.0,21.8,214.2
2010-10-14,19.3,9.8,14.2,75.9,8.8,21.4,268.1
2010-10-15,18.3,8.0,12.9,78.5,5.3,25.5,247.5
2010-10-16,18.4,9.8,13.4,83.1,1.1,14.4,237.3
2010-10-17,19.4,9.0,13.4,80.1,0.1,28.5,166.3
2010-10-18,19.3,8.0,12.9,84.5,5.3,25.1,217.6
2010-10-19,19.3,9.9,13.9,83.9,2.1,32.7,104.3
2010-10-20,17.2,10.1,13.2,83.5,0.5,21.8,149.8
2010-10-21,19.3,8.0,12.3,87.3,10.9,27.7,216.3
2010-10-22,18.3,9.0,13.6,85.9,1.4,21.6,192.8
2010-10-23,20.3,8.0,13.8,87.9,1.4,20.1,250.8
2010-10-24,18.4,10.0,13.6,86.3,1.2,25.6,223.3
2010-10-25,19.3,9.0,13.3,84.2,14.5,28.9,171.9
2010-10-26,18.3,10.9,14.1,85.9,8.8,25.4,173.4
2010-10-27,20.3,11.0,14.2,85.4,41.4,25.9,157.0
2010-10-28,20.1,9.0,13.8,85.8,5.5,22.0,214.8
2010-10-29,19.3,7.0,13.5,85.2,17.4,25.6,145.2
