name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2013-09-09,19.2,11,14.3,19.2,11,14.3,8.8,70.7,9.4,100,79.17,rain,0,0,,18.2,62.8,1024.3,69.4,10.8,218.5,18.8,8,,2013-09-09T05:48:27,2013-09-09T17:58:27,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-10,19.2,7,13.9,19.2,7,13.9,8.6,72.8,0.4,100,16.67,rain,0,0,,25.5,165.1,1023.7,57.5,11.2,197.5,16.9,8,,2013-09-10T05:48:14,2013-09-10T17:57:58,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-11,18.5,10,13.3,18.5,9.1,13.3,9.7,79.7,0,0,0,,0,0,,20.5,294.2,1023.7,69.6,10.9,192.3,16.5,7,,2013-09-11T05:48:00,2013-09-11T17:57:30,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-12,19.4,8.1,12.9,19.4,7.6,12.8,10.2,85.7,6.3,100,70.83,rain,0,0,,21.6,325.2,1022.6,67.4,8.1,241.3,20.9,9,,2013-09-12T05:47:47,2013-09-12T17:57:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-13,20,10,14,20,10,14,10.9,82.7,4.8,100,100,rain,0,0,,24.5,358.4,1021,64.9,8.4,192.3,16.8,8,,2013-09-13T05:47:33,2013-09-13T17:56:32,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-14,20.2,9,14.9,20.2,7.9,14.9,8.7,70,4.4,100,70.83,rain,0,0,,36,104.3,1021.9,72,11.3,166.5,14.3,7,,2013-09-14T05:47:19,2013-09-14T17:56:04,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-15,19.3,10.8,14.5,19.3,10.8,14.5,9.3,72.2,5.2,100,50,rain,0,0,,26.9,111.9,1023.9,77.6,11,253,21.9,8,,2013-09-15T05:47:05,2013-09-15T17:55:35,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-16,19.3,9.1,14.9,19.3,7.3,14.8,7.6,63.7,0.7,100,29.17,rain,0,0,,36.1,115.5,1023.6,80.3,11.4,207.8,17.8,8,,2013-09-16T05:46:51,2013-09-16T17:55:06,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-17,18.3,8.1,13.9,18.3,8.1,13.9,9.2,74.4,8,100,75,rain,0,0,,21.7,74.4,1022.5,66.8,10.9,198.2,17.4,6,,2013-09-17T05:46:38,2013-09-17T17:54:37,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-18,19.3,10,14.1,19.3,10,14.1,9.3,74.9,2.5,100,41.67,rain,0,0,,33,119.6,1024,68.4,10.2,259.2,22.4,9,,2013-09-18T05:46:24,2013-09-18T17:54:08,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
